9831.139 ********************************************************
10344.918 Calibration Calibration (BEGIN) 
10345.602 Calibration Calibration (BEGIN) 
10346.273 Calibration Calibration (BEGIN) 
10346.935 Calibration Calibration (BEGIN) 
10347.617 Calibration Calibration (BEGIN) 
10348.288 Calibration Calibration (BEGIN) 
10348.975 Calibration Calibration (BEGIN) 
10349.630 Calibration Calibration (BEGIN) 
10350.313 Calibration Calibration (BEGIN) 
10350.986 Calibration Calibration (BEGIN) 
10351.643 Calibration Calibration (BEGIN) 
10352.304 Calibration Calibration (BEGIN) 
10352.972 Calibration Calibration (BEGIN) 
10353.646 Calibration Calibration (BEGIN) 
10354.305 Calibration Calibration (BEGIN) 
10354.966 Calibration Calibration (BEGIN) 
10355.631 Calibration Calibration (BEGIN) 
10356.263 Calibration Calibration (BEGIN) 
10356.896 Calibration Calibration (BEGIN) 
10357.537 Calibration Calibration (BEGIN) 
10358.278 Calibration Calibration (BEGIN) 
10358.947 Calibration Calibration (BEGIN) 
10359.611 Calibration Calibration (BEGIN) 
10360.264 Calibration Calibration (BEGIN) 
10360.924 Calibration Calibration (BEGIN) 
10361.584 Calibration Calibration (BEGIN) 
10362.253 Calibration Calibration (BEGIN) 
10362.913 Calibration Calibration (BEGIN) 
10363.571 Calibration Calibration (BEGIN) 
10364.247 Calibration Calibration (BEGIN) 
10364.907 Calibration Calibration (BEGIN) 
10365.559 Calibration Calibration (BEGIN) 
10366.217 Calibration Calibration (BEGIN) 
10366.842 Calibration Calibration (BEGIN) 
10367.496 Calibration Calibration (BEGIN) 
10368.142 Calibration Calibration (BEGIN) 
10368.798 Calibration Calibration (BEGIN) 
10369.463 Calibration Calibration (BEGIN) 
10370.130 Calibration Calibration (BEGIN) 
10370.788 Calibration Calibration (BEGIN) 
10371.452 Calibration Calibration (BEGIN) 
10372.112 Calibration Calibration (BEGIN) 
10372.768 Calibration Calibration (BEGIN) 
10373.425 Calibration Calibration (BEGIN) 
10374.091 Calibration Calibration (BEGIN) 
10374.755 Calibration Calibration (BEGIN) 
10375.409 Calibration Calibration (BEGIN) 
10376.039 Calibration Calibration (BEGIN) 
10376.705 Calibration Calibration (BEGIN) 
10377.373 Calibration Calibration (BEGIN) 
10378.039 Calibration Calibration (BEGIN) 
10378.694 Calibration Calibration (BEGIN) 
10379.355 Calibration Calibration (BEGIN) 
10380.016 Calibration Calibration (BEGIN) 
10380.677 Calibration Calibration (BEGIN) 
10381.328 Calibration Calibration (BEGIN) 
10381.983 Calibration Calibration (BEGIN) 
10382.653 Calibration Calibration (BEGIN) 
10383.330 Calibration Calibration (BEGIN) 
10384.014 Calibration Calibration (BEGIN) 
10384.686 Calibration Calibration (BEGIN) 
10385.341 Calibration Calibration (BEGIN) 
10386.000 Calibration Calibration (BEGIN) 
10386.656 Calibration Calibration (BEGIN) 
10387.325 Calibration Calibration (BEGIN) 
10387.981 Calibration Calibration (BEGIN) 
10388.638 Calibration Calibration (BEGIN) 
10389.324 Calibration Calibration (BEGIN) 
10390.000 Calibration Calibration (BEGIN) 
10390.661 Calibration Calibration (BEGIN) 
10391.328 Calibration Calibration (BEGIN) 
10391.996 Calibration Calibration (BEGIN) 
10392.662 Calibration Calibration (BEGIN) 
10393.316 Calibration Calibration (BEGIN) 
10393.980 Calibration Calibration (BEGIN) 
10394.632 Calibration Calibration (BEGIN) 
10395.306 Calibration Calibration (BEGIN) 
10395.964 Calibration Calibration (BEGIN) 
10396.624 Calibration Calibration (BEGIN) 
10397.282 Calibration Calibration (BEGIN) 
10397.948 Calibration Calibration (BEGIN) 
10398.602 Calibration Calibration (BEGIN) 
10399.258 Calibration Calibration (BEGIN) 
10399.948 Calibration Calibration (BEGIN) 
10400.641 Calibration Calibration (BEGIN) 
10401.305 Calibration Calibration (BEGIN) 
10401.988 Calibration Calibration (BEGIN) 
10402.641 Calibration Calibration (BEGIN) 
10403.307 Calibration Calibration (BEGIN) 
10403.958 Calibration Calibration (BEGIN) 
10404.623 Calibration Calibration (BEGIN) 
10405.285 Calibration Calibration (BEGIN) 
10405.940 Calibration Calibration (BEGIN) 
10406.598 Calibration Calibration (BEGIN) 
10407.256 Calibration Calibration (BEGIN) 
10407.913 Calibration Calibration (BEGIN) 
10408.572 Calibration Calibration (BEGIN) 
10409.226 Calibration Calibration (BEGIN) 
10409.898 Calibration Calibration (BEGIN) 
10410.549 Calibration Calibration (BEGIN) 
10411.199 Calibration Calibration (BEGIN) 
10411.862 Calibration Calibration (BEGIN) 
10412.535 Calibration Calibration (BEGIN) 
10413.197 Calibration Calibration (BEGIN) 
10413.861 Calibration Calibration (BEGIN) 
10414.518 Calibration Calibration (BEGIN) 
10415.180 Calibration Calibration (BEGIN) 
10415.835 Calibration Calibration (BEGIN) 
10416.495 Calibration Calibration (BEGIN) 
10417.200 Calibration Calibration (BEGIN) 
10417.873 Calibration Calibration (BEGIN) 
10418.531 Calibration Calibration (BEGIN) 
10419.202 Calibration Calibration (BEGIN) 
10419.870 Calibration Calibration (BEGIN) 
10420.508 Calibration Calibration (BEGIN) 
10421.170 Calibration Calibration (BEGIN) 
10421.819 Calibration Calibration (BEGIN) 
10422.488 Calibration Calibration (BEGIN) 
10423.150 Calibration Calibration (BEGIN) 
10423.808 Calibration Calibration (BEGIN) 
10424.502 Calibration Calibration (BEGIN) 
10425.167 Calibration Calibration (BEGIN) 
10425.824 Calibration Calibration (BEGIN) 
10426.473 Calibration Calibration (BEGIN) 
10427.122 Calibration Calibration (BEGIN) 
10427.789 Calibration Calibration (BEGIN) 
10428.453 Calibration Calibration (BEGIN) 
10429.111 Calibration Calibration (BEGIN) 
10429.777 Calibration Calibration (BEGIN) 
10430.438 Calibration Calibration (BEGIN) 
10431.094 Calibration Calibration (BEGIN) 
10431.751 Calibration Calibration (BEGIN) 
10432.410 Calibration Calibration (BEGIN) 
10433.055 Calibration Calibration (BEGIN) 
10433.770 Calibration Calibration (BEGIN) 
10434.331 Calibration Calibration (BEGIN) 
10435.010 Calibration Calibration (BEGIN) 
10435.568 Calibration Calibration (BEGIN) 
10436.097 Calibration Calibration (BEGIN) 
10436.615 Calibration Calibration (BEGIN) 
10437.132 Calibration Calibration (BEGIN) 
10437.651 Calibration Calibration (BEGIN) 
10438.164 Calibration Calibration (BEGIN) 
10438.677 Calibration Calibration (BEGIN) 
10439.196 Calibration Calibration (BEGIN) 
10439.717 Calibration Calibration (BEGIN) 
10440.232 Calibration Calibration (BEGIN) 
10440.741 Calibration Calibration (BEGIN) 
10441.252 Calibration Calibration (BEGIN) 
10441.736 Calibration Calibration (BEGIN) 
10442.241 Calibration Calibration (BEGIN) 
10442.718 Calibration Calibration (BEGIN) 
10443.240 Calibration Calibration (BEGIN) 
10443.750 Calibration Calibration (BEGIN) 
10444.268 Calibration Calibration (BEGIN) 
10444.778 Calibration Calibration (BEGIN) 
10445.283 Calibration Calibration (BEGIN) 
10445.793 Calibration Calibration (BEGIN) 
10446.312 Calibration Calibration (BEGIN) 
10446.822 Calibration Calibration (BEGIN) 
10447.331 Calibration Calibration (BEGIN) 
10447.841 Calibration Calibration (BEGIN) 
10448.361 Calibration Calibration (BEGIN) 
10448.871 Calibration Calibration (BEGIN) 
10449.348 Calibration Calibration (BEGIN) 
10449.874 Calibration Calibration (BEGIN) 
10450.423 Calibration Calibration (BEGIN) 
10450.933 Calibration Calibration (BEGIN) 
10451.417 Calibration Calibration (BEGIN) 
10451.901 Calibration Calibration (BEGIN) 
10452.392 Calibration Calibration (BEGIN) 
10452.870 Calibration Calibration (BEGIN) 
10453.353 Calibration Calibration (BEGIN) 
10453.853 Calibration Calibration (BEGIN) 
10454.329 Calibration Calibration (BEGIN) 
10454.817 Calibration Calibration (BEGIN) 
10455.297 Calibration Calibration (BEGIN) 
10455.785 Calibration Calibration (BEGIN) 
10456.269 Calibration Calibration (BEGIN) 
10456.749 Calibration Calibration (BEGIN) 
10457.247 Calibration Calibration (BEGIN) 
10457.726 Calibration Calibration (BEGIN) 
10458.210 Calibration Calibration (BEGIN) 
10458.683 Calibration Calibration (BEGIN) 
10459.170 Calibration Calibration (BEGIN) 
10459.657 Calibration Calibration (BEGIN) 
10460.142 Calibration Calibration (BEGIN) 
10460.619 Calibration Calibration (BEGIN) 
10461.107 Calibration Calibration (BEGIN) 
10461.587 Calibration Calibration (BEGIN) 
10462.079 Calibration Calibration (BEGIN) 
10462.560 Calibration Calibration (BEGIN) 
10463.045 Calibration Calibration (BEGIN) 
10463.543 Calibration Calibration (BEGIN) 
10464.059 Calibration Calibration (BEGIN) 
10464.551 Calibration Calibration (BEGIN) 
10465.035 Calibration Calibration (BEGIN) 
10465.522 Calibration Calibration (BEGIN) 
