14511.406 ********************************************************
15099.085 Calibration Calibration (BEGIN) 
15099.990 Calibration Calibration (BEGIN) 
15100.875 Calibration Calibration (BEGIN) 
15101.748 Calibration Calibration (BEGIN) 
15102.651 Calibration Calibration (BEGIN) 
15103.530 Calibration Calibration (BEGIN) 
15104.396 Calibration Calibration (BEGIN) 
15105.299 Calibration Calibration (BEGIN) 
15106.176 Calibration Calibration (BEGIN) 
15107.065 Calibration Calibration (BEGIN) 
15107.985 Calibration Calibration (BEGIN) 
15108.963 Calibration Calibration (BEGIN) 
15109.995 Calibration Calibration (BEGIN) 
15110.884 Calibration Calibration (BEGIN) 
15111.761 Calibration Calibration (BEGIN) 
15112.653 Calibration Calibration (BEGIN) 
15113.524 Calibration Calibration (BEGIN) 
15114.410 Calibration Calibration (BEGIN) 
15115.636 Calibration Calibration (BEGIN) 
15116.545 Calibration Calibration (BEGIN) 
15117.443 Calibration Calibration (BEGIN) 
15118.327 Calibration Calibration (BEGIN) 
15119.198 Calibration Calibration (BEGIN) 
15120.093 Calibration Calibration (BEGIN) 
15120.982 Calibration Calibration (BEGIN) 
15121.892 Calibration Calibration (BEGIN) 
15122.774 Calibration Calibration (BEGIN) 
15123.655 Calibration Calibration (BEGIN) 
15124.557 Calibration Calibration (BEGIN) 
15125.587 Calibration Calibration (BEGIN) 
15126.476 Calibration Calibration (BEGIN) 
15127.354 Calibration Calibration (BEGIN) 
15128.251 Calibration Calibration (BEGIN) 
15129.127 Calibration Calibration (BEGIN) 
15130.023 Calibration Calibration (BEGIN) 
15130.922 Calibration Calibration (BEGIN) 
15131.816 Calibration Calibration (BEGIN) 
15132.722 Calibration Calibration (BEGIN) 
15133.607 Calibration Calibration (BEGIN) 
15134.503 Calibration Calibration (BEGIN) 
15135.394 Calibration Calibration (BEGIN) 
15136.276 Calibration Calibration (BEGIN) 
15137.171 Calibration Calibration (BEGIN) 
15138.069 Calibration Calibration (BEGIN) 
15138.945 Calibration Calibration (BEGIN) 
15139.831 Calibration Calibration (BEGIN) 
15140.737 Calibration Calibration (BEGIN) 
15141.640 Calibration Calibration (BEGIN) 
15142.540 Calibration Calibration (BEGIN) 
15143.460 Calibration Calibration (BEGIN) 
15144.343 Calibration Calibration (BEGIN) 
15145.223 Calibration Calibration (BEGIN) 
15146.131 Calibration Calibration (BEGIN) 
15147.011 Calibration Calibration (BEGIN) 
15147.892 Calibration Calibration (BEGIN) 
15148.800 Calibration Calibration (BEGIN) 
15149.679 Calibration Calibration (BEGIN) 
15150.559 Calibration Calibration (BEGIN) 
15151.461 Calibration Calibration (BEGIN) 
15152.346 Calibration Calibration (BEGIN) 
15153.223 Calibration Calibration (BEGIN) 
15154.148 Calibration Calibration (BEGIN) 
15155.033 Calibration Calibration (BEGIN) 
15155.923 Calibration Calibration (BEGIN) 
15156.843 Calibration Calibration (BEGIN) 
15157.804 Calibration Calibration (BEGIN) 
15221.171 Calibration Calibration (BEGIN) 
15222.535 Calibration Calibration (BEGIN) 
15223.869 Calibration Calibration (BEGIN) 
15225.021 Calibration Calibration (BEGIN) 
15226.185 Calibration Calibration (BEGIN) 
15227.130 Calibration Calibration (BEGIN) 
15228.053 Calibration Calibration (BEGIN) 
15229.137 Calibration Calibration (BEGIN) 
15230.124 Calibration Calibration (BEGIN) 
15231.104 Calibration Calibration (BEGIN) 
15232.009 Calibration Calibration (BEGIN) 
