23383.010 ********************************************************
23950.776 Calibration Calibration (BEGIN) 
23951.272 Calibration Calibration (BEGIN) 
23951.821 Calibration Calibration (BEGIN) 
23952.310 Calibration Calibration (BEGIN) 
23952.812 Calibration Calibration (BEGIN) 
23953.290 Calibration Calibration (BEGIN) 
23953.803 Calibration Calibration (BEGIN) 
23954.287 Calibration Calibration (BEGIN) 
23954.770 Calibration Calibration (BEGIN) 
23955.297 Calibration Calibration (BEGIN) 
23955.868 Calibration Calibration (BEGIN) 
23956.370 Calibration Calibration (BEGIN) 
23956.872 Calibration Calibration (BEGIN) 
23957.355 Calibration Calibration (BEGIN) 
23957.859 Calibration Calibration (BEGIN) 
23958.343 Calibration Calibration (BEGIN) 
23958.840 Calibration Calibration (BEGIN) 
23959.343 Calibration Calibration (BEGIN) 
23959.827 Calibration Calibration (BEGIN) 
23960.332 Calibration Calibration (BEGIN) 
23960.982 Calibration Calibration (BEGIN) 
23961.522 Calibration Calibration (BEGIN) 
23962.002 Calibration Calibration (BEGIN) 
23962.489 Calibration Calibration (BEGIN) 
23962.963 Calibration Calibration (BEGIN) 
23963.445 Calibration Calibration (BEGIN) 
23963.927 Calibration Calibration (BEGIN) 
23964.409 Calibration Calibration (BEGIN) 
23964.918 Calibration Calibration (BEGIN) 
23965.420 Calibration Calibration (BEGIN) 
23965.899 Calibration Calibration (BEGIN) 
23966.382 Calibration Calibration (BEGIN) 
23966.863 Calibration Calibration (BEGIN) 
23967.414 Calibration Calibration (BEGIN) 
23967.927 Calibration Calibration (BEGIN) 
23968.451 Calibration Calibration (BEGIN) 
23968.959 Calibration Calibration (BEGIN) 
23969.454 Calibration Calibration (BEGIN) 
23969.949 Calibration Calibration (BEGIN) 
23970.431 Calibration Calibration (BEGIN) 
23970.914 Calibration Calibration (BEGIN) 
23971.403 Calibration Calibration (BEGIN) 
23971.951 Calibration Calibration (BEGIN) 
23972.441 Calibration Calibration (BEGIN) 
23972.920 Calibration Calibration (BEGIN) 
23973.404 Calibration Calibration (BEGIN) 
23973.914 Calibration Calibration (BEGIN) 
23974.401 Calibration Calibration (BEGIN) 
23974.882 Calibration Calibration (BEGIN) 
23975.366 Calibration Calibration (BEGIN) 
23975.850 Calibration Calibration (BEGIN) 
23976.343 Calibration Calibration (BEGIN) 
23976.823 Calibration Calibration (BEGIN) 
23977.350 Calibration Calibration (BEGIN) 
23977.832 Calibration Calibration (BEGIN) 
23978.314 Calibration Calibration (BEGIN) 
23978.827 Calibration Calibration (BEGIN) 
23979.309 Calibration Calibration (BEGIN) 
23979.793 Calibration Calibration (BEGIN) 
23980.291 Calibration Calibration (BEGIN) 
23980.770 Calibration Calibration (BEGIN) 
23981.324 Calibration Calibration (BEGIN) 
23981.812 Calibration Calibration (BEGIN) 
23982.294 Calibration Calibration (BEGIN) 
23982.776 Calibration Calibration (BEGIN) 
23983.268 Calibration Calibration (BEGIN) 
23983.751 Calibration Calibration (BEGIN) 
23984.247 Calibration Calibration (BEGIN) 
23984.777 Calibration Calibration (BEGIN) 
23985.354 Calibration Calibration (BEGIN) 
23985.837 Calibration Calibration (BEGIN) 
23986.316 Calibration Calibration (BEGIN) 
23986.801 Calibration Calibration (BEGIN) 
23987.288 Calibration Calibration (BEGIN) 
23987.772 Calibration Calibration (BEGIN) 
23988.254 Calibration Calibration (BEGIN) 
23988.754 Calibration Calibration (BEGIN) 
23989.237 Calibration Calibration (BEGIN) 
23989.731 Calibration Calibration (BEGIN) 
23990.212 Calibration Calibration (BEGIN) 
23990.697 Calibration Calibration (BEGIN) 
23991.174 Calibration Calibration (BEGIN) 
23991.679 Calibration Calibration (BEGIN) 
23992.170 Calibration Calibration (BEGIN) 
23992.679 Calibration Calibration (BEGIN) 
23993.165 Calibration Calibration (BEGIN) 
23993.646 Calibration Calibration (BEGIN) 
23994.130 Calibration Calibration (BEGIN) 
23994.621 Calibration Calibration (BEGIN) 
23995.122 Calibration Calibration (BEGIN) 
23995.626 Calibration Calibration (BEGIN) 
23996.112 Calibration Calibration (BEGIN) 
23996.593 Calibration Calibration (BEGIN) 
23997.143 Calibration Calibration (BEGIN) 
23997.628 Calibration Calibration (BEGIN) 
23998.128 Calibration Calibration (BEGIN) 
23998.609 Calibration Calibration (BEGIN) 
23999.097 Calibration Calibration (BEGIN) 
23999.583 Calibration Calibration (BEGIN) 
24000.065 Calibration Calibration (BEGIN) 
24000.547 Calibration Calibration (BEGIN) 
24001.028 Calibration Calibration (BEGIN) 
24001.582 Calibration Calibration (BEGIN) 
24002.063 Calibration Calibration (BEGIN) 
24002.545 Calibration Calibration (BEGIN) 
24003.042 Calibration Calibration (BEGIN) 
24003.537 Calibration Calibration (BEGIN) 
24004.016 Calibration Calibration (BEGIN) 
24004.497 Calibration Calibration (BEGIN) 
24005.012 Calibration Calibration (BEGIN) 
24005.498 Calibration Calibration (BEGIN) 
24006.049 Calibration Calibration (BEGIN) 
24006.538 Calibration Calibration (BEGIN) 
24007.039 Calibration Calibration (BEGIN) 
24007.521 Calibration Calibration (BEGIN) 
24008.020 Calibration Calibration (BEGIN) 
24008.510 Calibration Calibration (BEGIN) 
24008.993 Calibration Calibration (BEGIN) 
24009.476 Calibration Calibration (BEGIN) 
24009.957 Calibration Calibration (BEGIN) 
24010.455 Calibration Calibration (BEGIN) 
